Date,Team_home,FGA_home,FGM_home,FG%_home,3PA_home,3PM_home,3P%_home,FTA_home,FTM_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TO_home,STL_home,BLK_home,PF_home,Points_home,Team_away,FGA_away,FGM_away,FG%_away,3PA_away,3PM_away,3P%_away,FTA_away,FTM_away,FT%_away,OREB_away,DREB_away,REB_away,AST_away,TO_away,STL_away,BLK_away,PF_away,Points_away,Point_diff
2024-11-02,CHA,91,40,0.43956043956043955,42,17,0.40476190476190477,9,6,0.6666666666666666,7,27,34,24,10,1,13,25,103,BOS,82,36,0.43902439024390244,52,16,0.3076923076923077,28,25,0.8928571428571429,8,36,44,23,4,4,15,17,113,-10
2024-11-01,TOR,107,52,0.48598130841121495,35,10,0.2857142857142857,13,11,0.8461538461538461,15,29,44,35,4,6,11,29,125,LAL,88,42,0.4772727272727273,32,11,0.34375,41,36,0.8780487804878049,9,34,43,29,6,5,10,17,131,-6
2024-11-01,POR,83,39,0.46987951807228917,35,15,0.42857142857142855,31,21,0.6774193548387096,11,25,36,27,8,5,19,17,114,OKC,95,51,0.5368421052631579,49,19,0.3877551020408163,19,16,0.8421052631578947,14,31,45,31,14,9,13,29,137,-23
2024-11-01,NOP,101,49,0.48514851485148514,31,12,0.3870967741935484,19,15,0.7894736842105263,15,31,46,28,8,4,6,15,125,IND,89,46,0.5168539325842697,38,16,0.42105263157894735,13,10,0.7692307692307693,6,33,39,35,3,3,14,21,118,7
2024-11-01,MIN,83,43,0.5180722891566265,42,18,0.42857142857142855,18,15,0.8333333333333334,8,30,38,34,8,9,16,22,119,DEN,92,41,0.44565217391304346,32,11,0.34375,29,23,0.7931034482758621,17,29,46,30,11,2,13,18,116,3
2024-11-01,DET,81,41,0.5061728395061729,34,11,0.3235294117647059,7,5,0.7142857142857143,6,32,38,23,6,9,22,12,98,NYK,101,52,0.5148514851485149,38,18,0.47368421052631576,10,6,0.6,12,33,45,31,16,3,9,14,128,-30
2024-11-01,CLE,87,44,0.5057471264367817,38,15,0.39473684210526316,20,17,0.85,7,42,49,25,6,4,12,21,120,ORL,90,41,0.45555555555555555,33,11,0.3333333333333333,24,16,0.6666666666666666,7,32,39,26,10,4,14,17,109,11
2024-11-01,CHA,91,42,0.46153846153846156,48,19,0.3958333333333333,12,6,0.5,12,30,42,20,5,5,14,26,109,BOS,86,41,0.47674418604651164,42,13,0.30952380952380953,35,29,0.8285714285714286,11,30,41,21,12,5,10,13,124,-15
2024-11-01,BKN,94,49,0.5212765957446809,36,11,0.3055555555555556,13,11,0.8461538461538461,9,37,46,34,11,6,10,20,120,CHI,88,38,0.4318181818181818,44,17,0.38636363636363635,24,19,0.7916666666666666,10,34,44,24,5,3,16,15,112,8
2024-11-01,ATL,92,41,0.44565217391304346,50,19,0.38,18,14,0.7777777777777778,8,32,40,30,8,4,13,22,115,SAC,89,43,0.48314606741573035,33,11,0.3333333333333333,30,26,0.8666666666666667,10,41,51,28,9,4,14,21,123,-8
